,row,genotype,location,Anthesis,Silk,Days to Anthesis,Days to Silk,Anthesis GDD,Silking GDD
300,TB17  888,b055x  b004,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
301,TB17  889,b125 x  b057,Genetics,7/23/2017,7/25/2017,67,69,4195.3,4339.55
302,TB17  890,b175 x  b102,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
303,TB17  891,b144 x  b136,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
304,TB17  892,b169x  b015,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
305,TB17  893,b049x  b004,Genetics,NA,NA,NA,NA,NA,NA
306,TB17  894,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
307,TB17  895,b154 x  b049,Genetics,7/23/2017,7/26/2017,67,70,4195.3,4409.65
308,TB17  896,b125 x  b107,Genetics,7/24/2017,7/30/2017,68,74,4269.2,4686.75
309,TB17  897,b057 x  b055,Genetics,NA,NA,NA,NA,NA,NA
310,TB17  898,b107 x  b057,Genetics,7/20/2017,7/23/2017,64,67,3977,4195.3
311,TB17  899,b102x  B73,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
312,TB17  900,b169 x  b125,Genetics,7/20/2017,7/23/2017,64,67,3977,4195.3
313,TB17  901,b125x  b004,Genetics,7/20/2017,7/23/2017,64,67,3977,4195.3
314,TB17  902,b107 x  b102,Genetics,7/25/2017,7/27/2017,69,71,4339.55,4479.3
315,TB17  903,b057x  b015,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
316,TB17  904,b055 x  B73,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
317,TB17  905,b111 x  b065,Genetics,NA,NA,NA,NA,NA,NA
318,TB17  906,b107x  b004,Genetics,7/23/2017,7/23/2017,67,67,4195.3,4195.3
319,TB17  907,b131 x  b102,Genetics,7/26/2017,7/27/2017,70,71,4409.65,4479.3
320,TB17  908, b004x  B73,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
321,TB17  909,b189 x  b065,Genetics,NA,7/22/2017,NA,66,NA,4121.95
322,TB17  910,b078 x  b057,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
323,TB17  911,b065 x  b049,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
324,TB17  912,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
325,TB17  913,b189 x  b169,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
326,TB17  914,b065 x  b044,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
327,TB17  915,b136 x  b111,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
328,TB17  916,b169 x  b049,Genetics,7/28/2017,7/27/2017,72,71,4551.5,4479.3
329,TB17  917,b189 x  b111,Genetics,7/23/2017,7/23/2017,67,67,4195.3,4195.3
330,TB17  918,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
331,TB17  919,b144 x  b055,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
332,TB17  920,b049x  b015,Genetics,7/27/2017,7/24/2017,71,68,4479.3,4269.2
333,TB17  921,b169x  b004,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
334,TB17  922,b169 x  b044,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
335,TB17  923,b175 x  b065,Genetics,7/21/2017,7/24/2017,65,68,4049.05,4269.2
336,TB17  924,b111 x  b044,Genetics,7/28/2017,7/27/2017,72,71,4551.5,4479.3
337,TB17  925,b189 x  b057,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
338,TB17  926,b065x  B73,Genetics,7/20/2017,7/24/2017,64,68,3977,4269.2
339,TB17  927,b189 x  b049,Genetics,7/25/2017,7/24/2017,69,68,4339.55,4269.2
340,TB17  928,b131 x  b125,Genetics,7/25/2017,7/25/2017,69,69,4339.55,4339.55
341,TB17  929,b131x  b040,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
342,TB17  930,b154 x  b144,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
343,TB17  931,b175 x  b078,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
344,TB17  932,b125 x  b078,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
345,TB17  933,b107x  b015,Genetics,7/19/2017,7/21/2017,63,65,3905.55,4049.05
346,TB17  934,b144 x  b044,Genetics,7/21/2017,7/23/2017,65,67,4049.05,4195.3
347,TB17  935,b057 x  B73,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
348,TB17  936,b078 x  b065,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
349,TB17  937,b136x  B73,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
350,TB17  938,b144 x  b065,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
351,TB17  939,b078 x  b049,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
352,TB17  940,b189x  b015,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
353,TB17  941,b102x  B73,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
354,TB17  942,b015x  B73,Genetics,7/21/2017,7/24/2017,65,68,4049.05,4269.2
355,TB17  943,b175x  B73,Genetics,7/19/2017,7/22/2017,63,66,3905.55,4121.95
356,TB17  944,b154 x  B73,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
357,TB17  945,b175 x  b111,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
358,TB17  946,b107 x  b044,Genetics,7/25/2017,7/24/2017,69,68,4339.55,4269.2
359,TB17  947,b015 x b044,Genetics,7/22/2017,7/23/2017,66,67,4121.95,4195.3
360,TB17  948, b015x  b004,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
361,TB17  949,b169 x  b111,Genetics,7/21/2017,7/21/2017,65,65,4049.05,4049.05
362,TB17  950,b175x  b015,Genetics,7/17/2017,7/17/2017,61,61,3765.4,3765.4
363,TB17  951,b065x  b015,Genetics,7/25/2017,7/26/2017,69,70,4339.55,4409.65
364,TB17  952,b154 x  b078,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
365,TB17  953,b189 x  b131,Genetics,NA,NA,NA,NA,NA,NA
366,TB17  954,b154 x  b044,Genetics,7/22/2017,7/23/2017,66,67,4121.95,4195.3
367,TB17  955,b044x  b004,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
368,TB17  956,b107x  B73,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
369,TB17  957,b040x  B73,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
370,TB17  958, b189 x  b136,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
371,TB17  959,b015x  B73,Genetics,7/20/2017,7/24/2017,64,68,3977,4269.2
372,TB17  960,b131 x  b044,Genetics,7/23/2017,7/23/2017,67,67,4195.3,4195.3
373,TB17  961,b154 x  b055,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
374,TB17  962,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
375,TB17  963,b102 x  b057,Genetics,7/23/2017,7/25/2017,67,69,4195.3,4339.55
376,TB17  964,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
377,TB17  965,b144 x  b125,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
378,TB17  966,b125 x  b111,Genetics,7/21/2017,7/21/2017,65,65,4049.05,4049.05
379,TB17  967,b189 x  B73,Genetics,NA,NA,NA,NA,NA,NA
380,TB17  968,b131x  b015,Genetics,7/28/2017,7/27/2017,72,71,4551.5,4479.3
381,TB17  969,b055x  b040,Genetics,7/21/2017,7/21/2017,65,65,4049.05,4049.05
382,TB17  970,b057x  b040,Genetics,7/22/2017,7/25/2017,66,69,4121.95,4339.55
383,TB17  971,b102x  b015,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
384,TB17  972,b154 x  b107,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
385,TB17  973,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
386,TB17  974,b189 x  b154,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
387,TB17  975,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
388,TB17  976,b125x  b015,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
389,TB17  977,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
390,TB17  978,b169 x  b107,Genetics,7/23/2017,7/23/2017,67,67,4195.3,4195.3
391,TB17  979,b175 x  b107,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
392,TB17  980,b111 x  b102,Genetics,7/21/2017,7/24/2017,65,68,4049.05,4269.2
393,TB17  981,b189 x  b125,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
394,TB17  982,b111x  b040,Genetics,NA,NA,NA,NA,NA,NA
395,TB17  983,b065x  b004,Genetics,8/2/2017,7/31/2017,77,75,4870.3,4748.95
396,TB17  984,b136x  b040,Genetics,7/19/2017,7/19/2017,63,63,3905.55,3905.55
397,TB17  985,b136 x  b055,Genetics,7/21/2017,7/24/2017,65,68,4049.05,4269.2
398,TB17  986,b136 x  b044,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
399,TB17  987,b144x  b015,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
400,TB17  988,b055 x  B73,Genetics,7/24/2017,7/25/2017,68,69,4269.2,4339.55
401,TB17  989,b111 x  b055,Genetics,NA,NA,NA,NA,NA,NA
402,TB17  990,b175 x  b169,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
403,TB17  991,b144 x  b057,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
404,TB17  992,b131 x  b055,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
405,TB17  993,b144 x  b131,Genetics,7/19/2017,7/22/2017,63,66,3905.55,4121.95
406,TB17  994,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
